id,text
28,취업을 준비하면서 직장인 입장에서 주말에 참여할 커뮤니티 프로그램을 찾기 어렵다는 부분이 개선됐으면 합니다.
29,실제로 이용해보니 프로젝트 기반 교육이 취업 준비에 실제 도움이 됐다.
30,취업을 준비하면서 비전공자 입장에서 프로젝트 경험을 쌓을 기회가 부족하다 다만 지원 가능한 주거사업 조건이 복잡하다는 부분이 개선됐으면 합니다.
31,취업을 준비하면서 보증금과 월세 지원을 한 번에 확인하고 싶다는 의견입니다.
32,실제로 이용해보니 취업준비생 입장에서 직장 근처에 적당한 주거지가 부족하다.
33,청년 문화 프로그램에 참여하면서 새로운 사람들을 만날 수 있었다.
34,취업을 준비하면서 청년 사업자 입장에서 사업 단계에 맞는 지원을 찾기 어렵다라고 느낍니다.
35,지역에서 생활하면서 야간 근무자 입장에서 광주와 전남 시군을 오갈 때 시간이 너무 오래 걸린다는 점이 가장 불편합니다.
36,지역에서 생활하면서 청년 사업자 입장에서 공간 지원과 자금 지원 정보를 함께 찾기 어렵다는 의견입니다.
37,주변에서도 많이 말하는데 사업계획서를 점검해주는 서비스가 있으면 좋겠다는 의견입니다.
38,광주·전남에서 지내다 보니 청년 사업자 입장에서 지역의 투자자나 멘토를 만나기 어렵다.
39,실제로 이용해보니 타지역에서 이주한 청년 입장에서 월세 부담이 너무 크다는 점이 가장 불편합니다.
40,요즘 느끼는 건 경력 초기 청년 입장에서 괜찮은 일자리가 어디에 있는지 모르겠다.
41,요즘 느끼는 건 주말에 여가를 즐기는 사람 입장에서 혼자 참여하기 좋은 프로그램을 찾기 어렵다는 의견입니다.
42,요즘 느끼는 건 최근 청년주택 공급이 늘어난 점은 긍정적이다는 점이 가장 불편합니다.
43,내 역량에 맞는 직무를 추천받고 싶다 그리고 청년이 즐길 만한 문화행사 정보를 찾기 어렵다라고 느낍니다.
44,취업을 준비하면서 비전공자 입장에서 지역기업 채용정보를 한눈에 찾기 어렵다라고 느낍니다.
45,실제로 이용해보니 야간 근무자 입장에서 광주와 전남 시군을 오갈 때 시간이 너무 오래 걸린다 또 내가 어떤 지원을 받을 수 있는지 판단하기 어렵다면 좋겠습니다.
46,광주·전남에서 지내다 보니 광주·전남을 오가는 사람 입장에서 면접이나 출근 시간에 맞는 교통편이 부족하다.
47,교육과 채용공고를 연결해서 보여주면 좋겠다고 생각합니다.
48,광주·전남에서 지내다 보니 신청 마감일과 필요한 서류를 자동으로 알려주면 좋겠다는 의견입니다.
49,광주·전남에서 지내다 보니 청년 사업자 입장에서 창업지원사업이 너무 많아 어떤 것을 신청해야 할지 모르겠다는 점이 가장 불편합니다.
50,요즘 느끼는 건 프리랜서 입장에서 지원금 신청 절차가 복잡하다고 생각합니다.
51,실제로 이용해보니 졸업예정자 입장에서 기업별 직무 정보가 너무 부족하다는 점이 가장 불편합니다.
52,개인적으로 실제 재직자의 직무 정보를 확인할 수 있으면 좋겠다.
53,개인적으로 최근 소규모 공연과 전시가 늘어난 점이 좋다는 점이 가장 불편합니다.
54,실제로 이용해보니 사회초년생 입장에서 청년주택 신청 시 필요한 서류가 많다라고 느낍니다.
55,주변에서도 많이 말하는데 비전공자 입장에서 무료 교육은 신청기간을 놓치기 쉽다라고 느낍니다.
56,요즘 느끼는 건 경력 초기 청년 입장에서 신입이 지원할 수 있는 직무를 찾기 어렵다는 의견입니다.
57,광주·전남에서 지내다 보니 지역 축제가 생각보다 다양해서 주말에 즐길 거리가 많았다.
58,개인적으로 대학생 입장에서 버스 도착 정보가 실제와 다른 경우가 있다는 의견입니다.
59,사업 단계에 맞는 지원사업을 자동 추천받고 싶다고 생각합니다.
60,지역에서 생활하면서 대중교통 이용자 입장에서 자차가 없으면 갈 수 있는 일자리가 제한된다면 좋겠습니다.
61,광주·전남에서 지내다 보니 비전공자 입장에서 어떤 기술부터 배워야 할지 모르겠다는 점이 가장 불편합니다.
62,주변에서도 많이 말하는데 비전공자 입장에서 신입이 지원할 수 있는 직무를 찾기 어렵다는 점이 가장 불편합니다.
63,지역에서 생활하면서 지역기업 채용설명회가 실제 취업 준비에 도움이 됐다.
64,내 관심사에 맞는 지역 행사를 추천받고 싶다.
65,주변에서도 많이 말하는데 취업준비생 입장에서 프로젝트 경험을 쌓을 기회가 부족하다고 생각합니다.
66,취업을 준비하면서 실제 재직자의 직무 정보를 확인할 수 있으면 좋겠다는 의견입니다.
67,광주·전남에서 지내다 보니 공유오피스 지원이 초기 창업자에게 유용했다 또 주말에는 버스가 너무 뜸하다면 좋겠습니다.
68,주변에서도 많이 말하는데 광주·전남을 오가는 사람 입장에서 버스 도착 정보가 실제와 다른 경우가 있다는 의견입니다.
69,주변에서도 많이 말하는데 최근 청년주택 공급이 늘어난 점은 긍정적이다.
70,주변에서도 많이 말하는데 내 관심사에 맞는 지역 행사를 추천받고 싶다라고 느낍니다.
71,주변에서도 많이 말하는데 초기창업자 입장에서 사업 단계에 맞는 지원을 찾기 어렵다 또 버스 배차간격이 길어 이동이 불편하다고 생각합니다.
72,지역에서 생활하면서 지역 청년 입장에서 홈페이지마다 검색 방식이 달라 불편하다라고 느낍니다.
73,주변에서도 많이 말하는데 자취하는 청년 입장에서 단기 거주가 가능한 주택 정보를 찾기 어렵다는 부분이 개선됐으면 합니다.
74,개인적으로 1인 가구 입장에서 행사 신청 방법이 제각각이라 불편하다라고 느낍니다.
75,지역에서 생활하면서 사회초년생 입장에서 청년주택 신청 시 필요한 서류가 많다 특히 채용공고가 여러 사이트에 흩어져 있다는 의견입니다.
76,실제로 이용해보니 교육 후 포트폴리오까지 만들 수 있는 과정이 필요하다는 의견입니다.
77,청년지원사업과 채용공고를 함께 추천해주면 좋겠다면 좋겠습니다.
78,취업을 준비하면서 내 역량에 맞는 직무를 추천받고 싶다 특히 지역별 행사 정보를 비교하기 어렵다는 부분이 개선됐으면 합니다.
79,실제로 이용해보니 1인 가구 입장에서 행사 신청 방법이 제각각이라 불편하다 또 청년정책 정보가 기관별로 흩어져 있다는 점이 가장 불편합니다.
80,취업을 준비하면서 타지역에서 이주한 청년 입장에서 청년주택 정보를 찾기 어렵다는 점이 가장 불편합니다.
81,개인적으로 청년 문화 프로그램에 참여하면서 새로운 사람들을 만날 수 있었다고 생각합니다.
82,요즘 느끼는 건 산단과 주요 거점을 잇는 셔틀이 있으면 좋겠다 또 보증금 마련이 부담된다.
83,요즘 느끼는 건 최근 일부 노선의 배차가 개선돼 이동이 편해졌다고 생각합니다.
84,실제로 이용해보니 정책 내용을 쉬운 말로 요약해서 보고 싶다는 점이 가장 불편합니다.
85,광주·전남에서 지내다 보니 광주·전남을 오가는 사람 입장에서 야간 대중교통이 부족하다면 좋겠습니다.
86,개인적으로 대중교통 이용자 입장에서 주말에는 버스가 너무 뜸하다라고 느낍니다.
87,요즘 느끼는 건 예비창업자 입장에서 기업 간 협업 파트너를 찾기 어렵다면 좋겠습니다.
88,내 조건에 맞는 주거지원 정책을 자동으로 추천받고 싶다라고 느낍니다.
89,요즘 느끼는 건 야간 근무자 입장에서 야간 대중교통이 부족하다 그리고 신입이 지원할 수 있는 직무를 찾기 어렵다.
90,광주·전남에서 지내다 보니 1인 가구 입장에서 공연이나 전시 정보가 여러 채널에 흩어져 있다 다만 지역기업의 연봉이나 복지 정보를 비교하기 어렵다는 부분이 개선됐으면 합니다.
91,취업준비생 입장에서 기업이 원하는 역량을 구체적으로 알기 어렵다는 점이 가장 불편합니다.
92,개인적으로 취업준비생 입장에서 주거지원 정책마다 자격요건이 달라 헷갈린다면 좋겠습니다.
93,청년 할인 정보를 함께 보여주면 좋겠다는 점이 가장 불편합니다.
94,지역에서 생활하면서 지역 청년 입장에서 지역기업의 연봉이나 복지 정보를 비교하기 어렵다 다만 지원 가능한 주거사업 조건이 복잡하다라고 느낍니다.
95,개인적으로 자취하는 청년 입장에서 청년주택 신청 시 필요한 서류가 많다는 의견입니다.
96,실제로 이용해보니 청년주택 신청 절차가 더 단순해졌으면 좋겠다고 생각합니다.
97,실제로 이용해보니 정책 알림 서비스를 통해 지원사업을 놓치지 않을 수 있었다.
98,실제로 이용해보니 타지역에서 이주한 청년 입장에서 직장 근처에 적당한 주거지가 부족하다 그리고 주말에 참여할 커뮤니티 프로그램을 찾기 어렵다라고 느낍니다.
99,개인적으로 최근 일부 노선의 배차가 개선돼 이동이 편해졌다 특히 지원 가능한 주거사업 조건이 복잡하다고 생각합니다.
100,취업을 준비하면서 내 역량에 맞는 직무를 추천받고 싶다는 부분이 개선됐으면 합니다.
101,지역에서 생활하면서 취업준비생 입장에서 괜찮은 일자리가 어디에 있는지 모르겠다 다만 산단이나 기업 밀집지역으로 가는 교통편이 부족하다는 의견입니다.
102,광주·전남에서 지내다 보니 대학생 입장에서 광주와 전남 시군을 오갈 때 시간이 너무 오래 걸린다면 좋겠습니다.
103,주변에서도 많이 말하는데 1인 가구 입장에서 지역 소규모 행사 정보는 검색이 잘 되지 않는다는 부분이 개선됐으면 합니다.
104,실제로 이용해보니 취업준비생 입장에서 지역기업 채용정보를 한눈에 찾기 어렵다 다만 신청기간이 짧아 놓치는 경우가 많다고 생각합니다.
105,주변에서도 많이 말하는데 취업준비생 입장에서 AI 교육은 많지만 수준을 판단하기 어렵다라고 느낍니다.
106,개인적으로 대학생 입장에서 야간 대중교통이 부족하다면 좋겠습니다.
107,지역에서 생활하면서 타지역에서 이주한 청년 입장에서 청년주택 정보를 찾기 어렵다.
108,주변에서도 많이 말하는데 정책 수혜 대상자 입장에서 문의할 기관을 찾는 데 시간이 오래 걸린다는 점이 가장 불편합니다.
109,취업을 준비하면서 신혼 청년 입장에서 전세나 월세 시세를 비교하기 어렵다고 생각합니다.
110,요즘 느끼는 건 지역대학 학생 입장에서 채용공고가 여러 사이트에 흩어져 있다는 의견입니다.
111,지역에서 생활하면서 예비창업자 입장에서 지원사업 공고가 여러 기관에 흩어져 있다는 의견입니다.
112,요즘 느끼는 건 청년 사업자 입장에서 지역의 투자자나 멘토를 만나기 어렵다.
113,실제로 이용해보니 지원사업 마감일을 한 번에 관리하고 싶다고 생각합니다.
114,취업을 준비하면서 신혼 청년 입장에서 주거지원 정책마다 자격요건이 달라 헷갈린다 또 지역에서는 고급 교육과정이 상대적으로 적다면 좋겠습니다.
115,취업을 준비하면서 정책 수혜 대상자 입장에서 신청 자격조건이 복잡하고 설명이 어렵다는 점이 가장 불편합니다.
116,지역에서 생활하면서 대학생 입장에서 지역별 행사 정보를 비교하기 어렵다라고 느낍니다.
117,주변에서도 많이 말하는데 직무전환을 준비하는 사람 입장에서 프로젝트 경험을 쌓을 기회가 부족하다면 좋겠습니다.
118,개인적으로 비전공자 입장에서 교육 프로그램 정보가 기관별로 흩어져 있다 그리고 신청 자격조건이 복잡하고 설명이 어렵다.
119,창업지원 프로그램을 통해 초기 비용 부담을 줄일 수 있었다.
120,취업을 준비하면서 창업지원 프로그램을 통해 초기 비용 부담을 줄일 수 있었다고 생각합니다.
121,1인 가구 입장에서 청년 할인 혜택을 한눈에 알기 어렵다면 좋겠습니다.
122,주변에서도 많이 말하는데 청년 임대주택 덕분에 주거비 부담이 줄었다 다만 늦은 시간까지 이용할 수 있는 문화공간이 부족하다는 점이 가장 불편합니다.
123,주변에서도 많이 말하는데 취업준비생 입장에서 AI·데이터 직무 채용정보가 부족하다.
124,최근 일부 노선의 배차가 개선돼 이동이 편해졌다는 점이 가장 불편합니다.
125,요즘 느끼는 건 야간 근무자 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족하다는 부분이 개선됐으면 합니다.
126,개인적으로 취업준비생 입장에서 취업지원 프로그램과 실제 채용이 잘 연결되지 않는다면 좋겠습니다.
127,지역 청년 입장에서 필요한 서류를 사전에 확인하기 어렵다 또 창업지원사업이 너무 많아 어떤 것을 신청해야 할지 모르겠다는 점이 가장 불편합니다.
128,지역에서 생활하면서 내 수준과 목표에 맞는 교육과정을 추천받고 싶다고 생각합니다.
129,광주·전남에서 지내다 보니 지역 청년 입장에서 신입이 지원할 수 있는 직무를 찾기 어렵다 특히 야간 대중교통이 부족하다는 부분이 개선됐으면 합니다.
130,주변에서도 많이 말하는데 신혼 청년 입장에서 청년주택 정보를 찾기 어렵다는 부분이 개선됐으면 합니다.
131,예비창업자 입장에서 지원금 신청 절차가 복잡하다는 부분이 개선됐으면 합니다.
132,실제로 이용해보니 비전공자 입장에서 실무에 바로 쓸 수 있는 교육을 찾기 어렵다는 부분이 개선됐으면 합니다.
133,주변에서도 많이 말하는데 경력 초기 청년 입장에서 인턴이나 현장실습 기회를 찾기 어렵다.
134,주변에서도 많이 말하는데 출퇴근하는 청년 입장에서 광주와 전남 시군을 오갈 때 시간이 너무 오래 걸린다는 부분이 개선됐으면 합니다.
135,지역에서 생활하면서 대학생 입장에서 야간 대중교통이 부족하다 다만 지원 가능한 주거사업 조건이 복잡하다라고 느낍니다.
136,개인적으로 청년주택 신청 절차가 더 단순해졌으면 좋겠다고 생각합니다.
137,개인적으로 실시간 교통 데이터를 활용해 경로를 추천해주면 좋겠다는 점이 가장 불편합니다.
138,광주·전남에서 지내다 보니 초기창업자 입장에서 초기 고객을 찾기 어렵다는 점이 가장 불편합니다.
139,지역에서 생활하면서 1인 가구 입장에서 공연이나 전시 정보가 여러 채널에 흩어져 있다는 점이 가장 불편합니다.
140,주변에서도 많이 말하는데 출퇴근하는 청년 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족하다는 부분이 개선됐으면 합니다.
141,개인적으로 1인 가구 입장에서 주말에 참여할 커뮤니티 프로그램을 찾기 어렵다는 부분이 개선됐으면 합니다.
142,요즘 느끼는 건 취업준비생 입장에서 보증금 마련이 부담된다.
143,실제로 이용해보니 주말에 여가를 즐기는 사람 입장에서 지역 소규모 행사 정보는 검색이 잘 되지 않는다라고 느낍니다.
144,주변에서도 많이 말하는데 야간 이동 수요를 반영한 교통서비스가 필요하다라고 느낍니다.
145,타지역에서 이주한 청년 입장에서 단기 거주가 가능한 주택 정보를 찾기 어렵다는 부분이 개선됐으면 합니다.
146,개인적으로 지역 스타트업 구성원 입장에서 지원사업 마감일을 자주 놓친다면 좋겠습니다.
147,광주·전남에서 지내다 보니 실제 재직자의 직무 정보를 확인할 수 있으면 좋겠다면 좋겠습니다.
148,주변에서도 많이 말하는데 최근 일부 노선의 배차가 개선돼 이동이 편해졌다는 부분이 개선됐으면 합니다.
149,광주·전남에서 지내다 보니 청년 사업자 입장에서 초기 고객을 찾기 어렵다면 좋겠습니다.
150,주변에서도 많이 말하는데 중소기업 재직자 입장에서 내가 어떤 지원을 받을 수 있는지 판단하기 어렵다는 의견입니다.
151,주변에서도 많이 말하는데 내 수준과 목표에 맞는 교육과정을 추천받고 싶다.
152,지역에서 생활하면서 정책 수혜 대상자 입장에서 필요한 서류를 사전에 확인하기 어렵다는 점이 가장 불편합니다.
153,대학생 입장에서 어떤 기술부터 배워야 할지 모르겠다는 부분이 개선됐으면 합니다.
154,지역 축제가 생각보다 다양해서 주말에 즐길 거리가 많았다는 점이 가장 불편합니다.
155,취업을 준비하면서 자취하는 청년 입장에서 직장 근처에 적당한 주거지가 부족하다 다만 지역기업 채용정보를 한눈에 찾기 어렵다라고 느낍니다.
156,주변에서도 많이 말하는데 사회초년생 입장에서 홈페이지마다 검색 방식이 달라 불편하다는 의견입니다.
157,광주·전남에서 지내다 보니 내 조건을 입력하면 받을 수 있는 정책을 추천받고 싶다는 의견입니다.
158,요즘 느끼는 건 청년 사업자 입장에서 사업 단계에 맞는 지원을 찾기 어렵다는 부분이 개선됐으면 합니다.
159,신청 마감일과 필요한 서류를 자동으로 알려주면 좋겠다라고 느낍니다.
160,개인적으로 취업준비생 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵다 특히 지원 가능한 주거사업 조건이 복잡하다.
161,현직자 강의는 직무 이해에 도움이 됐다 또 사업 단계에 맞는 지원을 찾기 어렵다면 좋겠습니다.
162,취업을 준비하면서 정책 수혜 대상자 입장에서 내가 어떤 지원을 받을 수 있는지 판단하기 어렵다는 점이 가장 불편합니다.
163,광주·전남에서 지내다 보니 비전공자 입장에서 기업별 직무 정보가 너무 부족하다는 부분이 개선됐으면 합니다.
164,개인적으로 비슷한 정책의 차이를 비교해주면 좋겠다면 좋겠습니다.
165,취업을 준비하면서 교육과 채용공고를 연결해서 보여주면 좋겠다 다만 전세나 월세 시세를 비교하기 어렵다는 부분이 개선됐으면 합니다.
166,취업을 준비하면서 청년 문화 프로그램에 참여하면서 새로운 사람들을 만날 수 있었다 그리고 주말에는 버스가 너무 뜸하다면 좋겠습니다.
167,지역에서 생활하면서 지역기업 채용설명회가 실제 취업 준비에 도움이 됐다.
168,요즘 느끼는 건 환승 정보가 예전보다 잘 제공되는 점은 좋다는 의견입니다.
169,실제로 이용해보니 정책 수혜 대상자 입장에서 신청 자격조건이 복잡하고 설명이 어렵다면 좋겠습니다.
170,주변에서도 많이 말하는데 청년주택 신청 절차가 더 단순해졌으면 좋겠다 그리고 버스 배차간격이 길어 이동이 불편하다는 점이 가장 불편합니다.
171,개인적으로 지역 스타트업 구성원 입장에서 기업 간 협업 파트너를 찾기 어렵다라고 느낍니다.
172,개인적으로 지역기업 채용정보를 한곳에서 보고 싶다.
173,취업을 준비하면서 최근 청년주택 공급이 늘어난 점은 긍정적이다는 점이 가장 불편합니다.
174,개인적으로 대학생 입장에서 야간 대중교통이 부족하다.
175,요즘 느끼는 건 직장인 입장에서 늦은 시간까지 이용할 수 있는 문화공간이 부족하다고 생각합니다.
176,개인적으로 지역 스타트업 구성원 입장에서 지원사업 공고가 여러 기관에 흩어져 있다고 생각합니다.
177,주변에서도 많이 말하는데 지역 청년 입장에서 지역기업의 연봉이나 복지 정보를 비교하기 어렵다.
178,요즘 느끼는 건 대학생 입장에서 AI 교육은 많지만 수준을 판단하기 어렵다는 의견입니다.
179,비전공자 입장에서 신입이 지원할 수 있는 직무를 찾기 어렵다는 부분이 개선됐으면 합니다.
180,개인적으로 취업준비생 입장에서 주거지원 정책마다 자격요건이 달라 헷갈린다 특히 지원사업 공고가 여러 기관에 흩어져 있다는 부분이 개선됐으면 합니다.
181,실제로 이용해보니 온라인 신청이 가능해져 예전보다 행정 절차가 편해졌다는 부분이 개선됐으면 합니다.
182,개인적으로 취업준비생 입장에서 홈페이지마다 검색 방식이 달라 불편하다는 의견입니다.
183,요즘 느끼는 건 여러 기관의 지원사업을 한 번에 검색하고 싶다면 좋겠습니다.
184,개인적으로 중소기업 재직자 입장에서 문의할 기관을 찾는 데 시간이 오래 걸린다고 생각합니다.
185,취업을 준비하면서 사회초년생 입장에서 청년정책 정보가 기관별로 흩어져 있다는 점이 가장 불편합니다.
186,요즘 느끼는 건 취업준비생 입장에서 기업별 직무 정보가 너무 부족하다.
187,개인적으로 대학생 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다는 부분이 개선됐으면 합니다.
188,광주·전남에서 지내다 보니 타지역에서 이주한 청년 입장에서 지원 가능한 주거사업 조건이 복잡하다 그리고 신청 자격조건이 복잡하고 설명이 어렵다고 생각합니다.
189,요즘 느끼는 건 비전공자 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다는 부분이 개선됐으면 합니다.
190,지역에서 생활하면서 출퇴근하는 청년 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족하다 또 내가 어떤 지원을 받을 수 있는지 판단하기 어렵다.
191,개인적으로 정책 수혜 대상자 입장에서 홈페이지마다 검색 방식이 달라 불편하다 또 무료 교육은 신청기간을 놓치기 쉽다는 점이 가장 불편합니다.
192,정책 수혜 대상자 입장에서 청년정책 정보가 기관별로 흩어져 있다 또 지역에서는 고급 교육과정이 상대적으로 적다라고 느낍니다.
193,내 역량에 맞는 직무를 추천받고 싶다면 좋겠습니다.
194,지역에서 생활하면서 재직 청년 입장에서 실무에 바로 쓸 수 있는 교육을 찾기 어렵다 특히 주말에는 버스가 너무 뜸하다는 점이 가장 불편합니다.
195,개인적으로 대학생 입장에서 실무에 바로 쓸 수 있는 교육을 찾기 어렵다는 의견입니다.
196,취업을 준비하면서 비전공자 입장에서 기업별 직무 정보가 너무 부족하다 또 비슷한 정책이 많아 차이를 비교하기 어렵다.
197,취업을 준비하면서 지역 축제가 생각보다 다양해서 주말에 즐길 거리가 많았다는 부분이 개선됐으면 합니다.
198,지역에서 생활하면서 타지역에서 이주한 청년 입장에서 주거지원 정책마다 자격요건이 달라 헷갈린다는 점이 가장 불편합니다.
199,광주·전남에서 지내다 보니 출퇴근하는 청년 입장에서 막차 시간이 빨라 늦게까지 활동하기 어렵다는 점이 가장 불편합니다.
200,직장인 입장에서 행사 신청 방법이 제각각이라 불편하다 또 신청 자격조건이 복잡하고 설명이 어렵다는 부분이 개선됐으면 합니다.
201,주변에서도 많이 말하는데 최근 AI 실습 과정이 늘어나 선택지가 많아졌다는 점이 가장 불편합니다.
202,공연·전시·체육 정보를 한곳에서 보고 싶다라고 느낍니다.
203,실제로 이용해보니 실제 재직자의 직무 정보를 확인할 수 있으면 좋겠다는 부분이 개선됐으면 합니다.
204,지역에서 생활하면서 비전공자 입장에서 프로젝트 경험을 쌓을 기회가 부족하다 특히 직장 근처에 적당한 주거지가 부족하다면 좋겠습니다.
205,요즘 느끼는 건 여러 기관의 지원사업을 한 번에 검색하고 싶다고 생각합니다.
206,실제로 이용해보니 타지역에서 이주한 청년 입장에서 직장 근처에 적당한 주거지가 부족하다는 점이 가장 불편합니다.
207,청년 임대주택 덕분에 주거비 부담이 줄었다고 생각합니다.
208,요즘 느끼는 건 내 조건에 맞는 주거지원 정책을 자동으로 추천받고 싶다는 점이 가장 불편합니다.
209,실제로 이용해보니 출퇴근하는 청년 입장에서 버스 도착 정보가 실제와 다른 경우가 있다는 의견입니다.
210,출퇴근하는 청년 입장에서 산단이나 기업 밀집지역으로 가는 교통편이 부족하다 또 청년정책 정보가 기관별로 흩어져 있다면 좋겠습니다.
211,실제로 이용해보니 정책 수혜 대상자 입장에서 문의할 기관을 찾는 데 시간이 오래 걸린다 또 청년주택 정보를 찾기 어렵다라고 느낍니다.
212,취업을 준비하면서 직장인 입장에서 청년이 즐길 만한 문화행사 정보를 찾기 어렵다라고 느낍니다.
213,요즘 느끼는 건 대학생 입장에서 지역에서는 고급 교육과정이 상대적으로 적다 그리고 지원사업 공고가 여러 기관에 흩어져 있다.
214,지역에서 생활하면서 지역 청년 입장에서 필요한 서류를 사전에 확인하기 어렵다면 좋겠습니다.
215,비슷한 정책의 차이를 비교해주면 좋겠다면 좋겠습니다.
216,직무전환을 준비하는 사람 입장에서 지역에서는 고급 교육과정이 상대적으로 적다는 의견입니다.
217,요즘 느끼는 건 정책 수혜 대상자 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵다라고 느낍니다.
218,실제로 이용해보니 위치와 시간에 맞춰 여가 활동을 추천해주면 좋겠다면 좋겠습니다.
219,광주·전남에서 지내다 보니 주말에 여가를 즐기는 사람 입장에서 혼자 참여하기 좋은 프로그램을 찾기 어렵다는 의견입니다.
220,광주·전남에서 지내다 보니 지역 청년 입장에서 정책 변경사항을 제때 알기 어렵다고 생각합니다.
221,광주·전남에서 지내다 보니 공연·전시·체육 정보를 한곳에서 보고 싶다.
222,예비창업자 입장에서 공간 지원과 자금 지원 정보를 함께 찾기 어렵다라고 느낍니다.
223,비슷한 관심사의 사람들과 참여할 프로그램을 찾고 싶다는 부분이 개선됐으면 합니다.
224,실제로 이용해보니 최근 청년 취업 프로그램이 다양해진 점은 좋다면 좋겠습니다.
225,대학생 입장에서 생활체육 프로그램 정보가 부족하다.
226,주변에서도 많이 말하는데 광주·전남을 오가는 사람 입장에서 버스 배차간격이 길어 이동이 불편하다면 좋겠습니다.
227,취업준비생 입장에서 비슷한 정책이 많아 차이를 비교하기 어렵다라고 느낍니다.
228,지역에서 생활하면서 취업준비생 입장에서 신청기간이 짧아 놓치는 경우가 많다 그리고 월세 부담이 너무 크다는 점이 가장 불편합니다.
229,지역에서 생활하면서 비전공자 입장에서 어떤 기술부터 배워야 할지 모르겠다고 생각합니다.
230,취업을 준비하면서 재직 청년 입장에서 교육과 실제 채용 요구역량이 잘 맞지 않는다고 생각합니다.
231,개인적으로 지원사업 마감일을 한 번에 관리하고 싶다.
232,직장인 입장에서 혼자 참여하기 좋은 프로그램을 찾기 어렵다라고 느낍니다.
233,요즘 느끼는 건 지역 스타트업 구성원 입장에서 지원사업 마감일을 자주 놓친다.
234,광주·전남에서 지내다 보니 취업준비생 입장에서 교육 이후 포트폴리오로 연결하기 어렵다는 점이 가장 불편합니다.
235,광주·전남에서 지내다 보니 자취하는 청년 입장에서 보증금 마련이 부담된다고 생각합니다.
